CSP17CD,CSP17NM,FID
E22000299,Mid Sussex,231
E22000300,Rother,232
E22000301,Wealden,233
E22000302,Worthing,234
E22000374,North Hampshire,235
E22000034,Copeland,236
E22000035,Eden,237
E22000036,South Lakeland,238
E22000037,Amber Valley,239
E22000038,Bolsover,240
E22000039,Chesterfield,241
E22000040,Derby,242
E22000041,Derbyshire Dales,243
E22000042,Erewash,244
E22000043,High Peak,245
E22000044,North East Derbyshire,246
E22000045,South Derbyshire,247
E22000142,Maidstone,248
E22000049,Exeter,249
E22000143,Medway,250
E22000050,Isles of Scilly,251
E22000144,Sevenoaks,252
E22000056,Plymouth,253
E22000145,Shepway,254
E22000060,Torbay,255
E22000146,Swale,256
E22000063,Bournemouth,257
E22000147,Thanet,258
E22000067,Poole,259
E22000148,Tonbridge and Malling,260
E22000072,Darlington,261
E22000149,Tunbridge Wells,262
E22000079,Basildon,263
E22000150,Blackburn with Darwen,264
E22000080,Braintree,265
E22000151,Blackpool,266
E22000081,Brentwood,267
E22000152,Burnley,268
E22000082,Castle Point,269
E22000153,Chorley,270
E22000083,Chelmsford,271
E22000154,Fylde,272
E22000084,Colchester,273
E22000155,Hyndburn,274
E22000085,Epping Forest,275
E22000156,Lancaster,276
E22000086,Harlow,277
E22000157,Pendle,278
E22000087,Maldon,279
E22000158,Preston,280
E22000088,Rochford,281
E22000159,Ribble Valley,282
E22000089,Southend-on-Sea,283
E22000160,Rossendale,284
E22000090,Tendring,285
E22000161,South Ribble,286
E22000091,Thurrock,287
E22000092,Uttlesford,288
E22000093,Cheltenham,289
E22000094,Cotswold,290
E22000095,Forest of Dean,291
E22000096,Gloucester,292
E22000097,Stroud,293
