CSP16CD,CSP16NM,FID
E22000081,Brentwood,192
E22000199,Haringey,193
E22000140,Dover,194
E22000289,Woking,195
E22000342,Bradford,196
E22000082,Castle Point,197
E22000290,Adur,198
E22000343,Calderdale,199
E22000142,Maidstone,200
E22000200,Harrow,201
E22000291,Arun,202
E22000083,Chelmsford,203
E22000344,Kirklees,204
E22000143,Medway,205
E22000345,Leeds,206
E22000201,Havering,207
E22000084,Colchester,208
E22000292,Brighton and Hove,209
E22000144,Sevenoaks,210
E22000202,Hillingdon,211
E22000346,Wakefield,212
E22000293,Chichester,213
E22000085,Epping Forest,214
E22000145,Shepway,215
E22000350,Swindon,216
E22000294,Crawley,217
E22000086,Harlow,218
E22000203,Hounslow,219
E22000352,Dartford and Gravesham,220
E22000146,Swale,221
E22000295,Eastbourne,222
E22000087,Maldon,223
E22000353,Central Bedfordshire,224
E22000296,Hastings,225
E22000147,Thanet,226
E22000204,Islington,227
E22000354,Cheshire East,228
E22000148,Tonbridge and Malling,229
E22000297,Horsham,230
E22000088,Rochford,231
E22000205,Kensington and Chelsea,232
E22000355,Cheshire West and Chester,233
E22000298,Lewes,234
E22000149,Tunbridge Wells,235
E22000089,Southend-on-Sea,236
E22000206,Kingston upon Thames,237
E22000356,Cornwall,238
E22000299,Mid Sussex,239
E22000090,Tendring,240
E22000207,Lambeth,241
E22000150,Blackburn with Darwen,242
E22000300,Rother,243
E22000357,Daventry and South Northamptonshire,244
E22000208,Lewisham,245
E22000091,Thurrock,246
E22000151,Blackpool,247
E22000358,Northumberland,248
E22000301,Wealden,249
E22000209,Merton,250
E22000092,Uttlesford,251
E22000152,Burnley,252
E22000359,South Warwickshire,253
E22000302,Worthing,254
E22000210,Newham,255
E22000153,Chorley,256
E22000360,Shropshire,257
E22000211,Redbridge,258
E22000093,Cheltenham,259
E22000154,Fylde,260
E22000212,Richmond upon Thames,261
E22000361,Wiltshire,262
E22000094,Cotswold,263
E22000213,Southwark,264
E22000155,Hyndburn,265
E22000095,Forest of Dean,266
E22000362,East and Mid Devon,267
E22000156,Lancaster,268
E22000214,Sutton,269
E22000157,Pendle,270
E22000363,North Devon,271
E22000096,Gloucester,272
E22000215,Tower Hamlets,273
E22000158,Preston,274
E22000364,South Devon and Dartmoor,275
E22000097,Stroud,276
E22000159,Ribble Valley,277
E22000216,Waltham Forest,278
E22000365,County Durham,279
E22000366,South Nottinghamshire,280
E22000160,Rossendale,281
E22000367,Dorset,282
E22000217,Wandsworth,283
E22000161,South Ribble,284
E22000218,Breckland,285
E22000368,North Worcestershire,286
E22000219,Broadland,287
E22000220,Great Yarmouth,288
E22000369,Somerset,289
E22000371,City of York,290
E22000372,North Yorkshire,291
E22000373,Western Suffolk,292
E22000374,North Hampshire,293
