CSP16CD,CSP16NM,FID
E22000221,King's Lynn and West Norfolk,1
E22000222,North Norfolk,2
E22000223,Norwich,3
E22000224,South Norfolk,4
E22000233,Corby,5
E22000001,Bath and North East Somerset,6
E22000002,"Bristol, City of",7
E22000235,East Northamptonshire,8
E22000003,North Somerset,9
E22000098,Tewkesbury,10
E22000236,Kettering,11
E22000099,Bolton,12
E22000006,South Gloucestershire,13
E22000100,Bury,14
E22000237,Northampton,15
E22000009,Bedford,16
E22000101,Manchester,17
E22000010,Luton,18
E22000102,Oldham,19
E22000013,Cambridge,20
E22000239,Wellingborough,21
E22000014,East Cambridgeshire,22
E22000103,Rochdale,23
E22000162,West Lancashire,24
E22000015,Fenland,25
E22000244,Gateshead,26
E22000104,Salford,27
E22000163,Wyre,28
E22000016,Huntingdonshire,29
E22000245,Newcastle upon Tyne,30
E22000105,Stockport,31
E22000164,Blaby,32
E22000246,North Tyneside,33
E22000017,Peterborough,34
E22000165,Charnwood,35
E22000018,South Cambridgeshire,36
E22000247,South Tyneside,37
E22000106,Tameside,38
E22000023,Halton,39
E22000166,Harborough,40
E22000248,Sunderland,41
E22000107,Trafford,42
E22000167,Hinckley and Bosworth,43
E22000026,Warrington,44
E22000251,Ashfield,45
E22000168,Leicester,46
E22000108,Wigan,47
E22000027,Hartlepool,48
E22000252,Bassetlaw,49
E22000028,Redcar and Cleveland,50
E22000169,Melton,51
E22000110,East Hampshire,52
E22000255,Mansfield,53
E22000029,Middlesbrough,54
E22000170,North West Leicestershire,55
E22000256,Newark and Sherwood,56
E22000111,Eastleigh,57
E22000171,Oadby and Wigston,58
E22000030,Stockton-on-Tees,59
E22000257,Nottingham,60
E22000031,Allerdale,61
E22000112,Fareham,62
E22000303,Aylesbury Vale,63
E22000172,Rutland,64
E22000259,Barnsley,65
E22000113,Gosport,66
E22000032,Barrow-in-Furness,67
E22000173,Boston,68
E22000304,Bracknell Forest,69
E22000260,Doncaster,70
E22000115,Havant,71
E22000033,Carlisle,72
E22000305,Cherwell,73
E22000174,East Lindsey,74
E22000116,Isle of Wight,75
E22000261,Rotherham,76
E22000034,Copeland,77
E22000306,Chiltern,78
E22000175,Lincoln,79
E22000117,New Forest,80
E22000035,Eden,81
E22000307,Milton Keynes,82
E22000262,Sheffield,83
E22000118,Portsmouth,84
E22000176,North Kesteven,85
E22000308,Oxford,86
E22000036,South Lakeland,87
E22000263,Cannock Chase,88
E22000309,Reading,89
E22000177,South Holland,90
E22000120,Southampton,91
E22000264,East Staffordshire,92
E22000037,Amber Valley,93
E22000310,Slough,94
E22000178,South Kesteven,95
E22000121,Test Valley,96
E22000265,Lichfield,97
E22000311,South Bucks,98
E22000179,West Lindsey,99
E22000122,Winchester,100
E22000038,Bolsover,101
E22000312,South Oxfordshire,102
E22000266,Newcastle-under-Lyme,103
E22000180,City of London,104
E22000123,Broxbourne,105
E22000313,Vale of White Horse,106
E22000039,Chesterfield,107
E22000267,South Staffordshire,108
E22000181,Knowsley,109
E22000124,Dacorum,110
E22000268,Stafford,111
E22000314,West Berkshire,112
E22000182,Liverpool,113
E22000040,Derby,114
E22000125,East Hertfordshire,115
E22000315,West Oxfordshire,116
E22000183,Sefton,117
E22000269,Staffordshire Moorlands,118
E22000041,Derbyshire Dales,119
E22000316,Windsor and Maidenhead,120
E22000126,Hertsmere,121
E22000184,St. Helens,122
E22000270,Stoke-on-Trent,123
E22000042,Erewash,124
E22000317,Wokingham,125
E22000127,North Hertfordshire,126
E22000185,Wirral,127
E22000271,Tamworth,128
E22000318,Wycombe,129
E22000043,High Peak,130
E22000128,St Albans,131
E22000186,Barking and Dagenham,132
E22000273,Ipswich,133
E22000319,North Warwickshire,134
E22000187,Barnet,135
E22000274,Suffolk Coastal,136
E22000044,North East Derbyshire,137
E22000129,Stevenage,138
E22000188,Bexley,139
E22000320,Nuneaton and Bedworth,140
E22000045,South Derbyshire,141
E22000278,Waveney,142
E22000321,Rugby,143
E22000189,Brent,144
E22000049,Exeter,145
E22000279,Elmbridge,146
E22000130,Three Rivers,147
E22000326,"Herefordshire, County of",148
E22000190,Bromley,149
E22000280,Epsom and Ewell,150
E22000050,Isles of Scilly,151
E22000332,South Worcester,152
E22000131,Watford,153
E22000191,Camden,154
E22000281,Guildford,155
E22000056,Plymouth,156
E22000333,Telford and Wrekin,157
E22000192,Westminster,158
E22000132,Welwyn Hatfield,159
E22000282,Mole Valley,160
E22000060,Torbay,161
E22000335,Birmingham,162
E22000193,Croydon,163
E22000283,Reigate and Banstead,164
E22000133,East Riding of Yorkshire,165
E22000063,Bournemouth,166
E22000336,Coventry,167
E22000134,"Kingston upon Hull, City of",168
E22000194,Ealing,169
E22000337,Dudley,170
E22000067,Poole,171
E22000284,Runnymede,172
E22000195,Enfield,173
E22000135,North East Lincolnshire,174
E22000338,Sandwell,175
E22000072,Darlington,176
E22000285,Spelthorne,177
E22000136,North Lincolnshire,178
E22000196,Greenwich,179
E22000339,Solihull,180
E22000079,Basildon,181
E22000286,Surrey Heath,182
E22000197,Hackney,183
E22000340,Walsall,184
E22000137,Ashford,185
E22000080,Braintree,186
E22000287,Tandridge,187
E22000341,Wolverhampton,188
E22000138,Canterbury,189
E22000198,Hammersmith and Fulham,190
E22000288,Waverley,191
